项目名称,住宅总套数,项目地址,开发单位,项目类型,设计单位,总建筑面积,施工单位,住宅建筑面积,监理单位
临港新片区泥城社区动迁安置基地五期（2）项目,1100,东至云夏路、西至抱雪路、南至霞光路、北至泥彭河南侧绿化带,上海临港新片区投资控股（集团）有限公司,征收安置住房,上海现代建筑规划设计研究院有限公司,138633.95,中国五冶集团有限公司,88097.9,上海科瑞真诚建设项目管理有限公司
临港新片区书院社区J17-03、J18-04地块（书院五期-2）,1240,东至岳麓路、西至船山街、南至丽正路及J17-02、J18-05公共绿地、北至新鹏东路,上海临港新片区投资控股（集团）有限公司,征收安置住房,上海同济建筑室内设计工程有限公司,185644.6,中铁建工集团第四建设有限公司,109547.49,上海浦桥工程建设管理有限公司
临港新片区书院社区J16-10地块（书院五期-1）,1272,东至岳麓路 、西至船山街、 南至新鹏东路、北至小洼港南侧绿化带,上海临港新片区投资控股（集团）有限公司,征收安置住房,上海同济建筑室内设计工程有限公司,170765.92,中铁建工集团第四建设有限公司,103954.26,思立博（上海）工程咨询有限公司
浦东新区保障房基地（曹路3号地块）08-01地块,1128,东至08-02地块，南至08-02地块，西至金拓路，北至01-01地块,上海中建一局集团投资发展有限公司,征收安置住房,同济大学建筑设计研究院（集团）有限公司,115207.28,中建一局集团建设发展有限公司,81435.19,上海海龙工程技术发展有限公司
浦东新区保障房基地（曹路3号地块）07-02地块,408,东至07-03地块、南至07-05地块、西至07-01地块、北至水洞港路,上海申悦房地产开发有限公司,征收安置住房,中国建筑上海设计研究院有限公司,48674.39,中建八局第四建设有限公司,34826.03,上海三维工程建设咨询有限公司
浦东新区保障房基地（曹路3号地块）13-13地块,436,东至13-14地块、南至民秋路、西至金拓路、北至13-12地块,上海申悦房地产开发有限公司,征收安置住房,上海浦东建筑设计研究院有限公司,45007.28,中建八局第二建设有限公司,32723.54,上海福达工程建设监理咨询有限公司
浦东新区保障房基地（曹路3号地块）08-05地块,812,东至08-06地块、南至08-07地块、西至金拓路、北至08-04地块,上海申悦房地产开发有限公司,征收安置住房,中国建筑上海设计研究院有限公司,94682.5,中建八局第四建设有限公司,67411.34,上海三维工程建设咨询有限公司
浦东新区保障房基地（曹路3号地块）13-05地块,1428,东至13-06地块、南至13-10地块、西至金拓路、北至13-04地块,上海申悦房地产开发有限公司,征收安置住房,上海浦东建筑设计研究院有限公司,145688.32,中建八局第二建设有限公司,106611.06,上海福达工程建设监理咨询有限公司
浦东新区三林恒大1号地块19-01项目,2539,三林镇东至东明路，南至联明路，西至规划联明路，北至杨南路,上海浦东发展置业有限公司,征收安置住房,河北建筑设计研究院有限责任公司,278396.91,上海浦东新区建设（集团）有限公司,190604.9,上海嘉豪建设监理有限公司
浦东新区惠南镇红光村“城中村”改造B7-5地块,786,惠南镇东至B7-6地块，南至勤奋路，西至政海路，北至B7-3、B7-4地块,上海建工惠城置业发展有限公司,征收安置住房,上海市建工设计研究总院有限公司,85724.15,上海建工七建集团有限公司,57248.32,上海市工程建设咨询监理有限公司
浦东新区合庆D04A-02地块,760,合庆镇东至丹霞路、D04A-07地块，南至D04A-05地块，西至D04A-01地块，北至D04A-08地块、D04A-02A地块,上海庆发房地产开发有限公司,征收安置住房,上海浦东建筑设计研究院有限公司,77876.86,上海浦东新区建设（集团）有限公司,55030.36,上海恒基建设工程项目管理有限公司
浦东新区祝桥B6b-1地块,600,祝桥镇东至港洪路，北至俊德路，西至B6b-1地块，南至军民路,上海陆川房地产开发有限公司,征收安置住房,上海浦东建筑设计研究院有限公司,72425.95,中建三局集团有限公司,48028.86,英泰克工程顾问（上海）有限公司
浦东新区川沙新镇六灶03-04地块,932,聚溪路597弄,光明房地产集团上海汇兆置业有限公司,征收安置住房,上海城乡建筑设计院有限公司,98526.01,上海农工商建设发展有限公司,70462.43,上海百通项目管理咨询有限公司
浦东新区合庆镇川沙北社区D04C-09B地块,772,合庆镇东至凌空路，南至D04C-12地块，西至D04C-09A、D04C-10地块，北至D04C-11地块,上海庆发房地产开发有限公司,征收安置住房,上海浦东建筑设计研究院有限公司,78657.11,上海浦东新区建设（集团）有限公司,57888.08,上海恒基建设工程项目管理有限公司
浦东新区祝桥镇江镇社区B6-2地块（祝桥B6b-2地块）,624,祝桥镇东至B6b-1地块，北至俊德路，西至东亭路，南至军民路,上海陆川房地产开发有限公司,征收安置住房,上海浦东建筑设计研究院有限公司,77393.54,中建三局集团有限公司,50793.24,英泰克工程顾问（上海）有限公司
浦东新区合庆镇川沙北社区D04B-07地块,1116,合庆镇东至丹霞路，南至新川路，西至皓韵路，北至浩舟路,上海庆发房地产开发有限公司,征收安置住房,上海筑景建筑设计有限公司,120715.6,上海浦东新区建设（集团）有限公司,89162.49,上海嘉豪建设监理有限公司
浦东新区北蔡鹏海社区Z000901单元09(c)-01地块,704,北蔡镇东至莲荣路，南至五星路，西至鹏清路，北至陈春东路,上海浦东地产有限公司,征收安置住房,上海市建工设计研究总院有限公司,73592,上海浦东北蔡市政建筑有限公司,53075,上海绿色都市建设监理咨询有限公司
宝山区大场镇场中村“城中村”改造项目洛河桥1-3及1-4地块（K1-10a、KA-10b地块),288,南大路38弄11支弄,上海华桐房地产开发有限公司,征收安置住房,中国建筑上海设计研究院有限公司,35713,上海龙赛建筑实业有限公司,24730,上海浩安建设工程咨询有限公司
宝山区潘泾社区06A-02地块,1547,北至友谊西路、南至羌谭路、东至顾文路、西至电台路,上海顾泰房地产开发有限公司,征收安置住房,中国建筑上海设计研究院有限公司,165596.11,上海龙赛建设实业有限公司,115636.36,上海浩安建设工程监理有限公司
宝山区杨行城中村06-02A地块,482,杨行镇杨桃东路36弄,上海宜为兴置业发展有限公司,征收安置住房,长业建设集团有限公司,59200.31,上海宝建集团有限公司,42066.01,上海浩安建设工程监理有限公司
